ID;VISITA;MES;FECHA;SATISFACCION_INFOR;SATISFACCION_RECORRIDO;SATISFACCION_GUIA;SATISFACCION_GLOBAL;LO_MEJOR;LO_PEOR;OPINION;SUGERENCIAS
28;MADRID EN FEMENINO;ABRIL;28/04/2023;10;8;8;8;Las explicaciines;El sonido, hace falta auriculares;Como esperaba;
27;MADRID EN FEMENINO;ABRIL;28/04/2023;10;10;10;10;Las explicaciones;;Como esperaba;
21;MADRID EN FEMENINO;AGOSTO;12/08/2023;10;9;9;10;Las explicaciones;;Mejor de lo que esperaba;
27;HISTORIAS Y LEYENDAS DE MADRID;SEPTIEMBRE;23/09/2023;9;9;9;9;Las explicaciones ;Todo ha estado bien;Como esperaba;Anunciarlo mas 
4;LA HISTORIA IMPRESCINDIBLE DE MADRID;ABRIL;09/04/2023;10;8;6;7;;;Como esperaba;Mejorar la calidad del profesional de este recorrido.
28;HISTORIAS Y LEYENDAS DE MADRID;SEPTIEMBRE;23/09/2023;10;10;10;10;Las explicaciones ;Nada;Como esperaba;Hacer más rutas para poder conocer mejor mi ciudad de residencia 
12;LA HISTORIA IMPRESCINDIBLE DE MADRID;AGOSTO;11/08/2023;10;10;10;10;;;Como esperaba;
30;LA NUEVA PLAZA DE ESPAÑA;SEPTIEMBRE;29/09/2023;10;10;10;10;Las explicaciones ;;Mejor de lo que esperaba;
15;MADRID EN FEMENINO;JUNIO;17/06/2023;10;10;10;10;Las explicaciones de cada parada. Jorge nos ha contado curiosidades muy interesantes.;Había zonas donde no se escuchaba bien al guía. A lo mejor un micro para solventar el ruido del tráfico y zonas con más bullicio?;Mejor de lo que esperaba;Micro para el guia. XXX lo ha hecho genial, pero a veces costaba escucharlo por el ruido.
4;MADRID HISTÓRICO;ENERO ;13/01/2023;10;10;10;10;Las explicaciones de la  guía ;Nada;Mejor de lo que esperaba;Ninguna
30;MADRID MONUMENTAL;OCTUBRE;20/10/2023;10;10;10;10;Las explicaciones de la guia;Nada;Como esperaba;Hacer mas recorridos
21;MADRID HISTÓRICO;JULIO;28/07/2023;10;10;10;10;Las explicaciones de la guia;Nada;Mejor de lo que esperaba;
9;LA HISTORIA IMPRESCINDIBLE DE MADRID;JUNIO;16/06/2023;10;10;10;10;Las explicaciones de la guia;Todo ha sido satisfactorio ;Mejor de lo que esperaba;
29;COMPRAS TÍPICAS DE NAVIDAD;DICIEMBRE;08/12/2023;10;10;10;10;Las explicaciones de la guia y su paciencia con tantísima gente .;Nada;Mejor de lo que esperaba;
33;LA NUEVA PLAZA DE ESPAÑA;OCTUBRE;21/10/2023;10;10;10;10;Las explicaciones de la guia, así como el recorrido y el contenido histórico del mismo;Nada;Mejor de lo que esperaba;
31;HISTORIAS Y LEYENDAS DE MADRID;AGOSTO;19/08/2023;10;10;10;10;Las explicaciones de la guía.;Todo me ha gustado;Mejor de lo que esperaba;
10;LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD;DICIEMBRE;10/12/2023;10;10;10;10;Las explicaciones de la guía. Muy ameno y un grupo muy controlado 8 personas.;Nada que aportar;Como esperaba;Nada que aportar. 
1;LEYENDAS, CASAS ENCANTADAS Y LUCES;ENERO ;07/01/2023;10;10;10;10;Las explicaciones de lugares por donde he pasado muchas veces y he visto y conocido cosa de las que no tenía ni idea. Me ayuda a conocer mi ciudad.;Qué hagan tan pocas ;Mejor de lo que esperaba;Qué hagan más y para todos los públicos. 
31;MADRID MONUMENTAL;OCTUBRE;20/10/2023;10;10;10;10;Las explicaciones de , la guia.;Hasta el clima ha acompañado hoy;Mejor de lo que esperaba;Ampliar recorridos
25;LA LATINA Y EL MUSEO DE LOS ORIGENES;AGOSTO;13/08/2023;9;10;9;9;;;Mejor de lo que esperaba;
24;LA HISTORIA IMPRESCINDIBLE DE MADRID;OCTUBRE;14/10/2023;10;10;10;10;Las explicaciones del guia;Nada ;Como esperaba;Hacer mas recorridos por otras zonas
11;SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO;ABRIL;16/04/2023;10;8;9;9;Las explicaciones del guia y las visitas ;La afluencia de gente al ser domingo y próximo al centro;Como esperaba;Cambiar al guía 
2;SAN ISIDRO HISTORIA DE UN SANTO MADRILEÑO;ABRIL;07/04/2023;10;10;10;10;Las explicaciones del guía. ;;Mejor de lo que esperaba;
29;HISTORIAS Y LEYENDAS DE MADRID;AGOSTO;19/08/2023;10;10;10;10;;;Como esperaba;
12;MADRID EN FEMENINO;JULIO;15/07/2023;10;8;7;8;Las explicaciones historicas;La desorganización de la explicación ;Mejor de lo que esperaba;
41;MADRID MONUMENTAL;OCTUBRE;29/10/2023;10;10;10;10;Las explicaciones q nos ha dado .;Nada;Mejor de lo que esperaba;Ninguna
8;CERVANTES Y LAS LETRAS;ENERO ;15/01/2023;10;10;10;10;Las explicaciones tan detalladas y tan bien comentadas;Todo perfecto y muy interesante;Mejor de lo que esperaba;
31;LA NUEVA PLAZA DE ESPAÑA;SEPTIEMBRE;29/09/2023;9;10;10;10;Las explicaciones y el recorrido ;;Como esperaba;
18;LA LATINA Y EL MUSEO DE LOS ORIGENES;JUNIO;23/06/2023;10;10;10;10;Las explicaciones y la accesibilidad garantizada;;Mejor de lo que esperaba;
10;LA HISTORIA IMPRESCINDIBLE DE MADRID;JUNIO;16/06/2023;9;10;10;10;Las explicaciones y trato;;Mejor de lo que esperaba;
